strategy,target_coverage,morphology,n,mean_confidence,median_confidence,mean_unknown_score,median_unknown_score,auto_accept_rate,human_review_rate,possible_unknown_rate,low_quality_rate,most_common_known_prediction
confidence_only,0.9,hairy_cell,3265,0.9127238813257145,0.9850453734397888,0.08727611867428556,0.014954626560211182,0.355895865237366,0.644104134762634,0.0,0.0,lymphocyte
confidence_only,0.9,lymphocyte_large_granular,1849,0.9866298414069682,0.9998683929443359,0.01337015859303183,0.0001316070556640625,0.8290968090859925,0.17090319091400757,0.0,0.0,lymphocyte
confidence_only,0.9,lymphocyte_neoplastic,180,0.9804299950599671,0.9996339380741119,0.01957000494003296,0.0003660619258880615,0.7166666666666667,0.2833333333333333,0.0,0.0,lymphocyte
confidence_only,0.9,lymphocyte_reactive,33,0.9254095861406038,0.994728147983551,0.07459041385939627,0.005271852016448975,0.45454545454545453,0.5454545454545454,0.0,0.0,lymphocyte
confidence_only,0.9,metamyelocyte,483,0.833648433349641,0.903050422668457,0.16635156665035902,0.09694957733154297,0.15320910973084886,0.8467908902691511,0.0,0.0,neutrophil_segmented
confidence_only,0.9,myeloblast,8606,0.9038180809138183,0.9772621691226959,0.0961819190861817,0.022737830877304077,0.3046711596560539,0.695328840343946,0.0,0.0,lymphocyte
confidence_only,0.9,myelocyte,747,0.8810684497816017,0.9726486206054688,0.11893155021839831,0.02735137939453125,0.3253012048192771,0.6746987951807228,0.0,0.0,eosinophil
confidence_only,0.9,neutrophil_band,687,0.8944785397559448,0.9699159264564514,0.10552146024405522,0.030084073543548584,0.2823871906841339,0.7176128093158661,0.0,0.0,neutrophil_segmented
confidence_only,0.9,normoblast,2071,0.826613033453892,0.8987385630607605,0.17338696654610794,0.1012614369392395,0.10816030902945437,0.8918396909705456,0.0,0.0,lymphocyte
confidence_only,0.9,plasma_cell,1658,0.9002739727065704,0.9752478003501892,0.09972602729342958,0.02475219964981079,0.29071170084439085,0.7092882991556092,0.0,0.0,lymphocyte
confidence_only,0.9,promyelocyte,745,0.9241907613789475,0.995337963104248,0.07580923862105247,0.004662036895751953,0.4818791946308725,0.5181208053691275,0.0,0.0,monocyte
confidence_only,0.9,promyelocyte_atypical,2033,0.9380974917357858,0.9962848424911499,0.061902508264214194,0.0037151575088500977,0.5017215937038859,0.49827840629611414,0.0,0.0,monocyte
confidence_only,0.9,smudge_cell,988,0.8808320187605344,0.9642190039157867,0.11916798123946556,0.03578099608421326,0.2732793522267207,0.7267206477732794,0.0,0.0,lymphocyte
confidence_only,0.8,hairy_cell,3265,0.9127238813257145,0.9850453734397888,0.08727611867428556,0.014954626560211182,0.21715160796324656,0.7828483920367535,0.0,0.0,lymphocyte
confidence_only,0.8,lymphocyte_large_granular,1849,0.9866298414069682,0.9998683929443359,0.01337015859303183,0.0001316070556640625,0.6792861005949161,0.3207138994050838,0.0,0.0,lymphocyte
confidence_only,0.8,lymphocyte_neoplastic,180,0.9804299950599671,0.9996339380741119,0.01957000494003296,0.0003660619258880615,0.5777777777777777,0.4222222222222222,0.0,0.0,lymphocyte
confidence_only,0.8,lymphocyte_reactive,33,0.9254095861406038,0.994728147983551,0.07459041385939627,0.005271852016448975,0.3333333333333333,0.6666666666666666,0.0,0.0,lymphocyte
confidence_only,0.8,metamyelocyte,483,0.833648433349641,0.903050422668457,0.16635156665035902,0.09694957733154297,0.055900621118012424,0.9440993788819876,0.0,0.0,neutrophil_segmented
confidence_only,0.8,myeloblast,8606,0.9038180809138183,0.9772621691226959,0.0961819190861817,0.022737830877304077,0.1550081338600976,0.8449918661399024,0.0,0.0,lymphocyte
confidence_only,0.8,myelocyte,747,0.8810684497816017,0.9726486206054688,0.11893155021839831,0.02735137939453125,0.19410977242302543,0.8058902275769746,0.0,0.0,eosinophil
confidence_only,0.8,neutrophil_band,687,0.8944785397559448,0.9699159264564514,0.10552146024405522,0.030084073543548584,0.1717612809315866,0.8282387190684134,0.0,0.0,neutrophil_segmented
confidence_only,0.8,normoblast,2071,0.826613033453892,0.8987385630607605,0.17338696654610794,0.1012614369392395,0.05456301303718011,0.9454369869628199,0.0,0.0,lymphocyte
confidence_only,0.8,plasma_cell,1658,0.9002739727065704,0.9752478003501892,0.09972602729342958,0.02475219964981079,0.14234016887816647,0.8576598311218335,0.0,0.0,lymphocyte
confidence_only,0.8,promyelocyte,745,0.9241907613789475,0.995337963104248,0.07580923862105247,0.004662036895751953,0.3315436241610738,0.6684563758389261,0.0,0.0,monocyte
confidence_only,0.8,promyelocyte_atypical,2033,0.9380974917357858,0.9962848424911499,0.061902508264214194,0.0037151575088500977,0.3133300541072307,0.6866699458927693,0.0,0.0,monocyte
