artifact_id,artifact_type,remote_path,local_copy,size_bytes,sha256_if_applicable,required_for_reproduction,regenerate_command,notes
ce_checkpoint,checkpoint,/home/ubuntu/hemato-osr/artifacts/checkpoints/delivery6/d6_v2_ce_seed37_2d9d5aa0027e6f49/best_checkpoint.pt,artifacts/checkpoint_metadata/delivery11_ce_seed37_v2_verification.json,pending,a1ff5939b431805a70eb5bda1e4e09059ff8e3fc0521fad2d41884b7c415deca,yes,scripts/remote/run_delivery11_remote.sh,"Verify remotely; do not copy checkpoint locally."
mll23_dataset,dataset,/home/ubuntu/datasets/mll23/,data/manifests/mll23_seed37_v2_conservative.csv,pending,81ca3db900f788a0446f80ea5d36e8766d8ca050404b755111b3ca898f809026,yes,pending_remote_reuse,"Reuse existing verified remote dataset if available."
oracle_validation_signals,metrics,/home/ubuntu/hemato-osr/artifacts/metrics/delivery11/oracle_validation_signals.csv,summary_or_compact_csv_only,pending,pending,yes,pending_remote_classifier_inference,"Generated from MLL23 known validation only."
oracle_operating_points,config,/home/ubuntu/hemato-osr/configs/triage/triage_delivery11_operating_points.yaml,configs/triage/triage_delivery11_operating_points.yaml,pending,pending,yes,scripts/experiments/run_delivery11.py calibrate-triage,"Thresholds frozen before test evaluation."
oracle_test_metrics,metrics,/home/ubuntu/hemato-osr/artifacts/metrics/delivery11/,artifacts/metrics/delivery11/,pending,pending,yes,pending_remote_oracle_evaluation,"Copy compact CSV/JSON outputs locally."
raabin_raw,dataset,/home/ubuntu/datasets/raabin_wbc/,none,pending,pending,yes,pending_remote_download,"Download directly on EC2 only."
raabin_audit,data_audit,/home/ubuntu/hemato-osr/artifacts/data_audit/delivery11/,artifacts/data_audit/delivery11/,pending,pending,yes,pending_remote_raabin_audit,"Copy only audit summaries locally."
detector_checkpoint,checkpoint,/home/ubuntu/hemato-osr/artifacts/checkpoints/delivery11/faster_rcnn_wbc_candidate_v1/best_checkpoint.pt,metadata_only,pending,pending,yes,pending_remote_training,"Large checkpoint remains remote."
detector_predictions,predictions,/home/ubuntu/hemato-osr/artifacts/predictions/delivery11/detections.jsonl,metadata_or_compact_only,pending,pending,yes,pending_remote_detection_test,"Large JSONL remains remote if not compact."
crop_cache,crops,/home/ubuntu/hemato-osr/artifacts/crops/delivery11/,none,pending,pending,no,pending_remote_end_to_end,"Generated crops stay remote."
end_to_end_results,metrics,/home/ubuntu/hemato-osr/artifacts/metrics/delivery11/,artifacts/metrics/delivery11/,pending,pending,yes,pending_remote_end_to_end,"Copy compact aggregate metrics locally."
