image_id,image_path,json_path,source,film_id,width,height,gt_cell_id,cell_key,raw_label1,raw_label2,mapped_morphology,known_or_unknown,detector_eligible,exclusion_reason,x_min,y_min,x_max,y_max,split
first_microscope/95-5-10-1/20160731_120755,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_120755.jpg,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/jsons/20160731_120755.json,first_microscope,95-5-10-1,5312,2988,first_microscope/95-5-10-1/20160731_120755/Cell_0,Cell_0,Artifact,Artifact,,excluded,False,artifact,1473.0,501.0,2048.0,1076.0,train
first_microscope/95-5-10-1/20160731_120755,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_120755.jpg,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/jsons/20160731_120755.json,first_microscope,95-5-10-1,5312,2988,first_microscope/95-5-10-1/20160731_120755/Cell_1,Cell_1,Unknn,Unknn,unknown,unknown,True,,2656.0,240.0,3231.0,815.0,train
first_microscope/95-5-10-1/20160731_120824,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_120824.jpg,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/jsons/20160731_120824.json,first_microscope,95-5-10-1,5312,2988,first_microscope/95-5-10-1/20160731_120824/Cell_0,Cell_0,Artifact,Artifact,,excluded,False,artifact,2745.0,1593.0,3320.0,2168.0,train
first_microscope/95-5-10-1/20160731_120824,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_120824.jpg,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/jsons/20160731_120824.json,first_microscope,95-5-10-1,5312,2988,first_microscope/95-5-10-1/20160731_120824/Cell_1,Cell_1,Artifact,Artifact,,excluded,False,artifact,2635.0,1259.0,3210.0,1834.0,train
first_microscope/95-5-10-1/20160731_120835,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_120835.jpg,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/jsons/20160731_120835.json,first_microscope,95-5-10-1,5312,2988,first_microscope/95-5-10-1/20160731_120835/Cell_0,Cell_0,Unknn,Unknn,unknown,unknown,True,,1938.0,1641.0,2513.0,2216.0,train
first_microscope/95-5-10-1/20160731_120847,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_120847.jpg,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/jsons/20160731_120847.json,first_microscope,95-5-10-1,5312,2988,first_microscope/95-5-10-1/20160731_120847/Cell_0,Cell_0,Small Lymph,Small Lymph,lymphocyte,known,True,,2485.0,490.0,3060.0,1065.0,train
first_microscope/95-5-10-1/20160731_120847,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_120847.jpg,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/jsons/20160731_120847.json,first_microscope,95-5-10-1,5312,2988,first_microscope/95-5-10-1/20160731_120847/Cell_1,Cell_1,Neutrophil,Neutrophil,neutrophil_segmented,known,True,,1473.0,794.0,2048.0,1369.0,train
first_microscope/95-5-10-1/20160731_120847,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_120847.jpg,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/jsons/20160731_120847.json,first_microscope,95-5-10-1,5312,2988,first_microscope/95-5-10-1/20160731_120847/Cell_2,Cell_2,Artifact,Artifact,,excluded,False,artifact,3202.0,2097.0,3777.0,2672.0,train
first_microscope/95-5-10-1/20160731_120847,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_120847.jpg,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/jsons/20160731_120847.json,first_microscope,95-5-10-1,5312,2988,first_microscope/95-5-10-1/20160731_120847/Cell_3,Cell_3,Artifact,Artifact,,excluded,False,artifact,3043.0,1749.0,3618.0,2324.0,train
first_microscope/95-5-10-1/20160731_120847,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/images/20160731_120847.jpg,/opt/dlami/nvme/datasets/raabin_wbc/fullfield/first_microscope/95-5-10-1/jsons/20160731_120847.json,first_microscope,95-5-10-1,5312,2988,first_microscope/95-5-10-1/20160731_120847/Cell_4,Cell_4,Neutrophil,Neutrophil,neutrophil_segmented,known,True,,3544.0,1716.0,4119.0,2291.0,train
